INVENTARIO AUDIO/VIDEO del CIRCUITO,,,,,,,
"NOTA: Si el tamaño de esta tabla es insuficiente para el registro, por favor haga cuantas copias necesite para enviarnos un inventario completo.",,,,,,,
Categoría,Equipamiento,Cant.,Medida,UDM,Contenedor,Detalles,Fotos
Audio,Parlante activo (potenciado),3,150,W,Ninguno (suelto),Este es un ejemplo.,
Audio,Parlante activo (potenciado),3,150,W,Ambil,"Wharfedale Titan 8""",
Audio,Parlante activo (potenciado),1,250,W,Ambil,"Wharfedale Titan 12""",
Audio,Parlante activo (potenciado),2,700,W,Ninguno (suelto),"DB Opera 710dx 15"" 700w",
Audio,Parlante activo (potenciado),2,350,W,Ambil,"RCF art310a 10"" 350w",
Audio,Base/trípode micrófono,2,,,Caja,,
Audio,Consola analógica,1,,,Caja,Allen&Heath Zed 18,
Audio,Consola digital,1,,,Ambil,Behringer XR12 (12 canales (4 preamp) (en rack),
Audio,Medusa analógica,2,,,Ambil,"4 canales c/u, conversor a cableado UTP",
Audio,Micrófono de mano,4,,,Caja,Sennheiser e835 dinámicos,
Audio,Micrófono de mano,1,,,Caja,Sennheiser e965 condensador,
Audio,Potencia de audio,1,800,W,Ambil,Luxell LXP-800,
Audio,Cable audio,2,50,m,Ambil,XLR M-H,
Audio,Cable audio,8,10,m,Ambil,XLR M-H,
Audio,Cable audio,11,5,m,Ambil,XLR M-H,
Audio,Otro,2,,,Ambil,Unión Y XLR H - 2 XLR M,
Otros,Otro,,,,Ambil,Cables varios UTP,
Video,Cable video,1,50,m,Ambil,SDI,
Video,Cámara PTZ (domo),1,,,Ambil,Cámara IP PTZ con zoom 10x,
Video,Video Switcher,,,,Caja,Blackmagic ATEM mini pro,
Video,Cable video,1,40,m,Ambil,SDI,
,,,,,,,
Audio,Cable STP 3m,1,3,m,,Para medusa RJ45,
Audio,Cable STP 4m,1,4,m,,Para medusa RJ46,
Otro,Pelacable,2,,,,,
Video,Crimpeadora BNC,2,,,,,
Video,Conectores BNC crimpeables,2,,bolsas,,,
Video,Pelacable coaxil,2,,,,,
Audio,Auricular Sennheiser HD205,1,,,,,
Otro,Multímetro digital,1,,,,,
Video,Fichas y cuplas coaxil,1,,bolsas,,,
Video,Splitters coaxil analógico,1,,bolsas,,,
Audio,Mic Sennheiser e965,1,,,,"Mic condensador, MUY FRAGIL",
Audio,Mic Sennheiser e965,4,,,,,
Audio,Capuchón color,5,,,,,
Audio,Splitter XLR 1M-2H,3,,,,,
Audio,Medusa XLR RJ45 4M Caja,1,,,,,
Audio,Medusa XLR RJ45 4H Caja,1,,,,,
Audio,Korg nanoKontrol2,1,,,,Controlador MIDI USB,
Audio,"Adaptador XLR-H - Jack 1/4"" Bal ",5,,,,,
Audio,"Adaptador XLR-M - Jack 1/4"" Unbal ",3,,,,,
Audio,Chupetes Mic varios,1,,caja,,,
Audio,Consola Wharfedale 1202FX,1,,,,,
Otro,Rack Audio/video,1,,,,,
Audio,Raspberry Pi 3b,1,,,,Controlador de mixer digital (en rack),
Otro,Router ETH/AP Wifi,1,,,,(en rack),
,,,,,,,
Video,Modulador RF - AV Compuesto ,1,,,,(en rack),
Otro,Switch ETH 5 puertos,1,,,,(en rack),
Audio,Medusa XLR RJ45 4M Cable,1,,,,(en rack),
Audio,Medusa XLR RJ45 4H Cable,1,,,,(en rack),
Otro,PSU ,1,,,,(en rack),
Video,Splitter 4 HDMI,1,,,,(en rack),
Video,Conversor HDMI-AV Compuesto,1,,,,(en rack),
Video,Conversor HDMI-SDI,1,,,,(en rack),
Video,Cable SDI ,1,23,m,,,
Otro,Cable UTP Cat5,,14,m,,,
Otro,Cable UTP Cat5,,42,m,,,
Otro,Cable UTP Cat5 exterior,,6,m,,,
Audio,Cable XLR M/H,,16,m,,,
Audio,Cable XLR M/H,5,11,m,,,
Otro,"Precintos 4,8 x 350",7,,bolsas,,,
Otro,"Precintos 4,8 x 300",1,,bolsas,,,
Otro,"Precintos 4,8 x 180",5,,bolsas,,,
Otro,"Precintos 3,6 x 150","0,5",,bolsas,,,
Otro,"Precintos 3,6 x 200",5,,bolsas,,,
Audio,Cable XLR M/H,2,50,m,,,
Video,Cable SDI ,1,"2,5",m,,,
Audio,Caja DI pasiva 2 RCA-XLR bal,1,,,,,
Otro,Fichas de repuesto audio y video,1,,caja,,,
Video,Splitter 4 SDI,2,,,,,
Video,Splitter 8 SDI,1,,,,,
Video,Webcam 4k,1,,,,(Caja cámaras),
Video,Webcam HD,1,,,,(Caja cámaras),
Video,Fuente 12v 1.2A ,1,,,,(Caja cámaras),
Video,Caja Cámaras,1,,,,,
Video,Cámara IP PTZ 10x óptico,1,,,,(Caja cámaras),
Video,Switch / AP Wifi,1,,,,(Caja cámaras),
Video,Raspberry Pi 3b,1,,,,Conversor Webcams a IP (Caja cámaras),
Video,Conversor SDI-HDMI,2,,,,,
Video,Televisor SD,1,,,,,
Audio,Cable RCA M-M Stereo,,"1,5",m,,,
Electricidad,Fuente 12v 1A ,,,,,,
Electricidad,Fuente USB 1A,,,,,,
Audio,Mic Behringer MX1800s,4,,,,,
Audio,Cable XLR M/H,3,5,m,,,
Audio,Cable XLR M/H,3,12,m,,,
Video,Cable HDMI,,12,m,,,
Video,Cable HDMI,4,"1,5",m,,,
Electricidad,Cable interlock,12,,,,,
Otro,Cable UPT Cat5,,2,m,,,
Audio,"Cable jack 1/2"" M/M",2,"0,5",m,,,
Audio,"Cable jack 1/2"" - RCA",,2,m,,,
Audio,"Cable jack 1/2"" M/M",2,5,m,,,
Audio,"Cable jack 1/2"" M - XLR M",,2,m,,,
Electricidad,UPS 500 VA,,,,,,
Electricidad,Cable speakon 220v,,3,m,,,
Audio,"Cable jack 1/2"" M - XLR H",,2,m,,,
Audio,"Cable jack 3,5mm - XLR M",,5,m,,,
Audio,Cable XLR M/H,1,1,m,,,
Audio,Cable XLR M/H,1,7,m,,,
Audio,Cable XLR M/H,2,9,m,,,
Audio,Cable XLR M/H,1,3,m,,,
Audio,Cable XLR M/H,1,2,m,,,
Audio,"Cable jack 3,5mm - XLR M",,2,m,,,
Audio,Mic Electret Superlux E322,1,,,,,
Otro,Eslingas acero,4,5,m,,,
Electricidad,Alargue 10A,4,4,m,,,
Electricidad,Alargue 10A,5,10,m,,,
Electricidad,Alargue 10A,5,12,m,,,
Electricidad,Alargue 10A,2,6,m,,,
Electricidad,Alargue 10A c/zapatilla,,5,m,,,
Electricidad,Tablero 63A 50mts,,,,,,
Electricidad,Zapatilla 12 tomas 5mts,,,,,,
Electricidad,Alargue 10A,4,20,m,,,
Electricidad,Zapatillas 10A,2,2,m,,,
Electricidad,Cable alimentación tipo 8,5,2,m,,,