ID_Equipo,Nombre,Ubicacion,Categoria,Propietario,Contenedor,Estado,Notas,Metadatos
A-FORK-CON,Behringer XR12,FOH-Rack,Audio,Circuito ER2,Ambil Audio,,Dentro de rack,"{""historial"":[],""notas"":[{""timestamp"":1777564924803,""nombre"":""Abel"",""detalle"":""prueba""}],""manuales"":[{""nombre"":""Manual EN"",""url"":""https://github.com/entrerios2/entrerios2.github.io/blob/main/Manuales/M_BE_0605-AAA_X-AIR_EN.pdf""},{""nombre"":""Manual ES"",""url"":""https://cdn-media.empowertribe.com/6869ea64834b4086b2e2e709441dab9c/M_BE_0605-AAA_X-AIR_ES.pdf""}]}"
A-FORK-MEDH,Medusa XLRH-RJ45 c/cables,FOH-Rack,Audio,Circuito ER2,Ambil Audio,Guardado,Dentro de rack,
A-FORK-MEDM,Medusa XLRM-RJ45 c/cables,FOH-Rack,Audio,Circuito ER2,Ambil Audio,Guardado,Dentro de rack,
A-PLA-MEDH,Medusa XLRH-RJ45 s/cables,Plataforma,Audio,Circuito ER2,Ambil Audio,Guardado,,
A-PLA-MEDM,Medusa XLRM-RJ45 s/cables,Plataforma,Audio,Circuito ER2,Ambil Audio,Guardado,,
A-PLA-MIC1,Sennheiser e965,Plataforma,Audio,Circuito ER2,Ambil Audio,Guardado,MUY FRAGIL,
A-PLA-MIC2,Sennheiser e835 1,Plataforma,Audio,Circuito ER2,Ambil Audio,Guardado,,
A-PLA-MIC3,Sennheiser e835 2,Plataforma,Audio,Circuito ER2,Ambil Audio,Guardado,,
A-PLA-MIC4,Sennheiser e835 3,Plataforma,Audio,Circuito ER2,Ambil Audio,Guardado,,
A-PLA-MIC5,Sennheiser e835 4,Plataforma,Audio,Circuito ER2,Ambil Audio,Guardado,,
A-FOH-SPRJ,Splitter RJ45 1,FOH-Cieloraso,Audio,Circuito ER2,Ambil Audio,Guardado,,
A-DL1-SPRJ,Splitter RJ45 2,Delay 1-Cieloraso,Audio,Circuito ER2,Ambil Audio,Guardado,,
A-DL2-CPRJ,Cupla RJ45 1,Delay 2-Cieloraso,Audio,Circuito ER2,Ambil Audio,Guardado,,
A-DL1-SPXLR,Splitter XLR 1,Delay 1-Cieloraso,Audio,Circuito ER2,Ambil Audio,Guardado,,
A-DL2-SPXLR,Splitter XLR 2,Delay 2-Cieloraso,Audio,Circuito ER2,Ambil Audio,Guardado,,
A-CPA-SPRJ,Splitter RJ45 3,Cocina PA,Audio,Circuito ER2,Ambil Audio,Guardado,,
A-AUX-CPRJ,Cupla RJ45 2,Salón Auxiliar,Audio,Circuito ER2,Ambil Audio,Guardado,,
A-FOH-CPRJ1,Cupla RJ45 3,Auditorio Auxiliar,Audio,Abel Bourband,,,,{}
A-FOH-CPRJ2,Cupla RJ45 4,FOH,Audio,Abel Bourband,,,,
A-FOH-CPRJ3,Cupla RJ45 5,FOH,Audio,Abel Bourband,,,,
A-FOH-SPRJ,Splitter RJ45 4,FOH,Audio,Abel Bourband,,,,
V-FORK-PC,PC Video,FOH-Rack,Video,Abel Bourband,,Guardado,Consola de operaciones de video,
V-FORK-HDMISP,Splitter HDMI 1,FOH-Rack,Video,Circuito ER2,,Guardado,Envia multiples señales HDMI a conversores y salida de monitoreo,
V-FORK-HDMISDI,Conversor HDMI - SDI,FOH-Rack,Video,Circuito ER2,,Guardado,Convierte la señal a SDI,
V-FORK-HDMIAV,Conversor HDMI - AV,FOH-Rack,Video,Circuito ER2,,Guardado,Convierte la señal a SDI,
V-FORK-AVRF,Modulador AV-RF,FOH-Rack,Video,Circuito ER2,,Guardado,Modula la señal AV para enviarla por coaxial,
R-FORK-ROUTER,Router Wifi ,FOH-Rack,Red,Circuito ER2,,Guardado,Conexiones de red del rack,
V-FOH-CAMS,Caja de Cámaras,FOH,Video,Circuito ER2,,Guardado,Caja con conexiones a cámaras y router interno,
V-FOH-CAMPTZ,Cámara PTZ,FOH,Video,Circuito ER2,,Guardado,"Cámara con control de pan, tilt y zoom 10x",
V-FOH-CAMPLA,Cámara Web Plataforma,FOH,Video,Circuito ER2,,Guardado,Cámara 4K dirigida a la plataforma,
V-FOH-CAMAUD,Cámara Web Auditorio,FOH,Video,Circuito ER2,,Guardado,Cámara HD dirigida al auditorio,
V-AURK-SDIHDMI,Conversor SDI - HDMI 1,Auditorio-Rack,Video,Circuito ER2,,Guardado,Convierte la señal a HDMI para los proyectores del auditorio principal,
V-AUX-SDIHDMI,Conversor SDI - HDMI 2,Auditorio Auxiliar,Video,Circuito ER2,,Guardado,Convierte la señal a HDMI para los proyectores del auditorio auxiliar,
V-REC-TV,Televisor analógico,Recepción PB,Video,Circuito ER2,,Guardado,,
V-REC-SPLT,Splitter Video Coaxial,Recepción PB,Video,Circuito ER2,,Guardado,,
V-AURK-HDMISP,Splitter HDMI ,Auditorio-Rack,Video,CPC,,,Proyectores PA,
E-FOH-POE1,Inyector POE,FOH,Electricidad,Abel Bourband,,,,
E-FOH-POE2,Splitter POE,FOH,Electricidad,Abel Bourband,,,,
E-FOH-F12V1,Fuente DC 12v 3a 1,FOH,Electricidad,Abel Bourband,,,,
A-FOH-RACK,Rack,FOH,Audio,Circuito ER2,,,,
A-FORK-XLRMJK1,"Adaptador XLR M - JACK 1/4"" TRS 1",FOH-Rack,Audio,Circuito ER2,,,,
A-FORK-XLRMJK2,"Adaptador XLR M - JACK 1/4"" TRS 2",FOH-Rack,Audio,Circuito ER2,,,,
A-FORK-XLRMJK3,"Adaptador XLR M - JACK 1/4"" TRS 3",FOH-Rack,Audio,Circuito ER2,,,,
A-FORK-XLRMJK4,"Adaptador XLR M - JACK 1/4"" TRS 4",FOH-Rack,Audio,Circuito ER2,,,,
A-FORK-XLRMJK5,"Adaptador XLR M - JACK 1/4"" TRS 5",FOH-Rack,Audio,Circuito ER2,,,,
A-FORK-XLRHJK1,"Adaptador - JACK 1/4"" TS XLR H 1",FOH-Rack,Audio,Circuito ER2,,,,
A-FORK-XLRHJK2,"Adaptador - JACK 1/4"" TS XLR H 2",FOH-Rack,Audio,Circuito ER2,,,,
A-FORK-XLRHJK3,"Adaptador - JACK 1/4"" TS XLR H 3",FOH-Rack,Audio,Circuito ER2,,,,
A-AUX-CONS,Consola Wharfedale 8 canales,Auditorio Auxiliar,Audio,Circuito ER2,,,,
A-PLA-SPK1,"Bafle Wharfedale Titan 8"" 1",Plataforma,Audio,Circuito ER2,,,,
A-PLA-SPK2,"Bafle Wharfedale Titan 8"" 2",Plataforma,Audio,Circuito ER2,,,,
A-PLA-SPK3,"Bafle Wharfedale Titan 12""",Plataforma,Audio,Circuito ER2,,,,
A-CPA-SPK1,"Bafle Wharfedale Titan 8"" 3",Cocina PA,Audio,Circuito ER2,,,,
A-CPB-SPK2,"Bafle Wharfedale Titan 8"" 4",Cocina PB,Audio,Abel Bourband,,,,
A-AUD-SPK1,"Bafle RCF ART 10"" 1",Auditorio Principal,Audio,Circuito ER2,,,,
A-AUD-SPK2,"Bafle RCF ART 10"" 2",Auditorio Principal,Audio,Circuito ER2,,,,
A-DL2-SPK1,"Bafle dB Opera 715 15"" 1",Delay 2,Audio,Circuito ER2,,,,
A-DL2-SPK2,"Bafle dB Opera 715 15"" 2",Delay 2,Audio,Circuito ER2,,,,
V-FOH-MON,Monitor HD HDMI,FOH,Video,Abel Bourband,,,,
V-FOH-KBD,Teclado USB,FOH,Video,Abel Bourband,,,,
V-FOH-MSE,Mouse USB,FOH,Video,Abel Bourband,,,,
A-PLA-SPK4,Bafle 1,Plataforma,Audio,LBD Préstamo,,,,
A-PLA-SPK5,Bafle 2,Plataforma,Audio,LBD Préstamo,,,,
A-DL1-SPK1,Bafle 3,Delay 1,Audio,LBD Préstamo,,,,
A-DL1-SPK2,Bafle 4,Delay 1,Audio,LBD Préstamo,,,,
A-PLA-SOP1,Soporte parlantes 1,Plataforma,Audio,Circuito ER2,,,,
A-PLA-SOP2,Soporte parlantes 2,Plataforma,Audio,Circuito ER2,,,,
A-DLY1-SOP1,Soporte parlantes 3,Delay 1,Audio,LBD Préstamo,,,,
A-DLY1-SOP2,Soporte parlantes 4,Delay 1,Audio,LBD Préstamo,,,,
A-DLY2-SOP1,Soporte parlantes 5,Delay 2,Audio,LBD Préstamo,,,,
A-DLY2-SOP2,Soporte parlantes 6,Delay 2,Audio,LBD Préstamo,,,,
P-PLA-JIR2,Jirafa 1,Plataforma,Plataforma,Circuito ER2,,,,
P-PLA-JIR3,Jirafa 2,Plataforma,Plataforma,Circuito ER2,,,,
P-PLA-CH1,Chupete Jirafa 1,Plataforma,Plataforma,Circuito ER2,,,,
P-PLA-CH1,Chupete Jirafa 2,Plataforma,Plataforma,Circuito ER2,,,,
P-PLA-SPMIC1,Soporte Mic 1,Plataforma,Plataforma,Circuito ER2,,,,
P-PLA-SPMIC1,Soporte Mic 2,Plataforma,Plataforma,Circuito ER2,,,,
P-PLA-ADES,Antideslizante Atril,Plataforma,Plataforma,Circuito ER2,,,,
P-PLA-CRON,Cronómetro,Plataforma,Plataforma,Circuito ER2,,,,
E-AURK-F5vU,Fuente DC 5v 2a USB,Auditorio-Rack,Electricidad,Circuito ER2,,,,
E-AURK-F5v,Fuente DC 5v 2a ,Auditorio-Rack,Electricidad,Circuito ER2,,,,
E-AUX-F5vU,Fuente DC 5v 2a USB,Auditorio Auxiliar,Electricidad,Circuito ER2,,,,
E-AUX-FCON,Fuente Consola Wharfedale,Auditorio Auxiliar,Electricidad,Circuito ER2,,,,
V-AUX-HDMISP,Splitter HDMI,Auditorio Auxiliar,Video,Julio Aristimunio,,,,
VID-PAX-TV,Televisor analógico,Primeros Auxilios PB,Video,Provisto por departamento,,Guardado,,{}
E-FOH-F12V2,Fuente DC 12v 2a 2,FOH,Electricidad,Abel Bourband,,Guardado,,{}
E-FOH-TAB,Tablero 63A ,FOH,Electricidad,Circuito,,,,